  700 2 2  24 2 -1 0-1.
  700 3 2  24 2 -1 0-1.
  705 1 2  24 2 -1 0-1.
  705 6 2  24 2 -1 0-1.
  706 1 2  24 2 -1 0-1.
  707 2 2  24 2 -1 0-1.
  715 1 2  24 1 30 0 0.
  716 1 2  24 2 -1 0-1.
  716 2 2  24 1 32 0 0.
  720 1 2  24 2 -1 0-1.
  722 1 2  24 1 40 0 0.
  724 1 2  24 2 -1 0-1.
  724 2 2  24 2 -1 0-1.
  726 1 2  24 1 16 0 0.
  726 2 2  24 2 -1 0-1.
  727 1 2  24 2 -1 0-1.
  729 4 2  24 2 -1 0-1.
  730 1 2  24 2 -1 0-1.
  732 1 2  24 1 47 0 0.
  737 3 2  24 2 -1 0-1.
  743 1 2  24 2 -1 0-1.
  744 1 2  24 2 -1 0-1.
  744 2 2  24 2 -1 0-1.
  746 1 2  24 2 -1 0-1.
  748 1 2  24 1 40 0 0.
  753 1 2  24 1  2 0 0.
  753 2 2  24 1 50 0 0.
  754 1 2  24 2 -1 0-1.
  754 2 2  24 2 -1 0-1.
  754 3 2  24 2 -1 0-1.
  757 1 2  24 2 -1 0-1.
  762 2 2  24 2 -1 0-1.
  763 1 2  24 1 30 0 0.
  763 2 2  24 1  5 0 0.
  764 1 2  24 2 -1 0-1.
  764 2 2  24 2 -1 0-1.
  766 2 2  24 2 -1 0-1.
  767 1 2  24 2 -1 0-1.
  767 4 2  24 2 -1 0-1.
  768 1 2  24 1 35 0 0.
  768 2 2  24 2 -1 0-1.
  768 3 2  24 2 -1 0-1.
  768 4 2  24 2 -1 0-1.
  775 1 2  24 2 -1 0-1.
  775 2 2  24 2 -1 0-1.
  775 3 2  24 2 -1 0-1.
  777 1 2  24 1  5 0 0.
  778 1 2  24 1 40 0 0.
  779 1 2  24 2 -1 0-1.
  779 2 2  24 2 -1 0-1.
  779 3 2  24 2 -1 0-1.
  784 1 2  24 2 -1 0-1.
  784 2 2  24 2 -1 0-1.
  786 1 2  24 2 -1 0-1.
  786 2 2  24 2 -1 0-1.
  786 3 2  24 2 -1 0-1.
  790 2 2  24 2 -1 0-1.
  791 1 2  24 2 -1 0-1.
  791 2 2  24 2 -1 0-1.
  793 1 2  24 2 -1 0-1.
  793 2 2  24 2 -1 0-1.
  795 1 2  24 2 -1 0-1.
  799 1 2  24 2 -1 0-1.
  803 1 2  24 1 24 0 0.
